"Date","Price (Open)"
"2022-02-17","185.72353769445576"
"2022-02-16","187.3382105717918"
"2022-02-15","183.67101522924534"
"2022-02-14","173.27222826160116"
"2022-02-13","181.94659110662468"
"2022-02-12","181.81755501160492"
"2022-02-11","192.07744705725275"
"2022-02-10","211.80720900983442"
"2022-02-09","207.47223745973457"
"2022-02-08","205.85861255608867"
"2022-02-07","200.347950606629"
"2022-02-06","198.85071727576798"
"2022-02-05","195.57810005295818"
"2022-02-04","181.39474732746515"
"2022-02-03","184.29019697737698"
"2022-02-02","195.9161284414385"
"2022-02-01","193.8641083564622"
"2022-01-31","183.51369462496262"
"2022-01-30","182.38226395167376"
"2022-01-29","177.68204821781364"
"2022-01-28","176.00421627916486"
"2022-01-27","183.3299995460622"
"2022-01-26","179.5617063706725"
"2022-01-25","174.1620647762129"
"2022-01-24","172.35376862460092"
"2022-01-23","169.36914014027641"
"2022-01-22","191.98115936280098"
"2022-01-21","221.70114984910327"
"2022-01-20","232.5411496455751"
"2022-01-19","239.86587275508592"
"2022-01-18","248.91517835500633"
"2022-01-17","260.69667358593205"
"2022-01-16","260.93553713132405"
"2022-01-15","249.11289268168258"
"2022-01-14","247.68552133171522"
"2022-01-13","249.83919836284707"
"2022-01-12","245.5620350801237"
"2022-01-11","234.8652295987485"
"2022-01-10","247.04738920235047"
"2022-01-09","243.62897269382387"
"2022-01-08","252.49268573947532"
"2022-01-07","269.46492563164935"
"2022-01-06","268.70773715410064"
"2022-01-05","289.9451252710666"
"2022-01-04","301.02931866707354"
"2022-01-03","298.7591083089082"
"2022-01-02","290.1541046429697"
"2022-01-01","285.40843378077096"
"2021-12-31","285.2900584872443"
"2021-12-30","278.4353650461316"
"2021-12-29","289.13425222613876"
"2021-12-28","308.72212634246426"
"2021-12-27","305.1513301363392"
"2021-12-26","294.2721037695408"
"2021-12-25","293.83291493028855"
"2021-12-24","293.38943470794624"
"2021-12-23","244.20834339566636"
"2021-12-22","246.64885411887133"
"2021-12-21","248.09445025101778"
"2021-12-20","247.93682350411723"
"2021-12-19","253.47878673228624"
"2021-12-18","244.56717209559056"
"2021-12-17","241.1006220011811"
"2021-12-16","244.6093598483087"
"2021-12-15","235.10808025976456"
"2021-12-14","232.2057954910473"
"2021-12-13","249.9900649442345"
"2021-12-12","256.1427661844669"
"2021-12-11","240.22965618945858"
"2021-12-10","261.56413317140556"
"2021-12-09","285.5641011203143"
"2021-12-08","276.6531366274461"
"2021-12-07","271.61250923929276"
"2021-12-06","257.67398997915416"
"2021-12-05","274.6994456431679"
"2021-12-04","299.4465238362278"
"2021-12-03","331.5753514723978"
"2021-12-02","333.18270528782807"
"2021-12-01","344.1322664087028"
"2021-11-30","340.81371856139737"
"2021-11-29","336.8768570788972"
"2021-11-28","325.39171088272275"
"2021-11-27","329.2263779373796"
