"Date","Price (Open)"
"2021-11-02","10.317013884181106"
"2021-11-01","10.071232650669913"
"2021-10-31","9.874927362557067"
"2021-10-30","10.304815766702523"
"2021-10-29","9.708840202651468"
"2021-10-28","9.276667702003241"
"2021-10-27","10.336160985161765"
"2021-10-26","9.843876897008661"
"2021-10-25","9.451991077402772"
"2021-10-24","9.905422251634816"
"2021-10-23","9.647358909058472"
"2021-10-22","9.462436186741101"
"2021-10-21","9.920747912883524"
"2021-10-20","9.39580239429567"
"2021-10-19","9.398555040426036"
"2021-10-18","9.55981412546555"
"2021-10-17","9.765671662147382"
"2021-10-16","9.751683998821516"
"2021-10-15","9.93366008242163"
"2021-10-14","9.395586654861765"
"2021-10-13","9.220104078364065"
"2021-10-12","9.60206074608063"
"2021-10-11","9.602347305057513"
"2021-10-10","10.185249279085156"
"2021-10-09","10.077907351549351"
"2021-10-08","10.283775958458751"
"2021-10-07","10.237667466880545"
"2021-10-06","10.488584310537895"
"2021-10-05","10.284159158928903"
"2021-10-04","10.710181120603407"
"2021-10-03","11.094463759512008"
"2021-10-02","10.485870056021897"
"2021-10-01","9.582594471722102"
"2021-09-30","9.28087519819727"
"2021-09-29","9.420698057700564"
"2021-09-28","10.00971796841577"
"2021-09-27","10.450656498594968"
"2021-09-26","10.17903584652742"
"2021-09-25","10.517587514746294"
"2021-09-24","11.751472514257173"
"2021-09-23","10.933104391347173"
"2021-09-22","9.518715220295904"
"2021-09-21","10.592514336258418"
"2021-09-20","12.784122793353864"
"2021-09-19","12.489301070541984"
"2021-09-18","12.779133793551074"
"2021-09-17","14.64120241507494"
"2021-09-16","14.97336274183146"
"2021-09-15","13.788619978296365"
"2021-09-14","12.630674022021601"
"2021-09-13","10.955156934314223"
"2021-09-12","10.813107813659096"
"2021-09-11","10.53949260676428"
"2021-09-10","11.300560802440447"
"2021-09-09","11.039672785532515"
"2021-09-08","10.71829007031311"
"2021-09-07","13.570611506597539"
"2021-09-06","12.93789225301408"
"2021-09-05","12.363267505316626"
"2021-09-04","12.450426974028723"
"2021-09-03","12.511737672681074"
"2021-09-02","12.507551982701422"
"2021-09-01","11.385222133865964"
"2021-08-31","11.109567236479196"
"2021-08-30","11.650216154446854"
"2021-08-29","11.988644483550829"
"2021-08-28","12.232223754365512"
"2021-08-27","11.426782567834728"
"2021-08-26","12.405532652087572"
"2021-08-25","12.224614306496658"
"2021-08-24","13.297990025833354"
"2021-08-23","13.5460028245028"
"2021-08-22","13.089648308093178"
"2021-08-21","12.586297186457683"
"2021-08-20","12.392852787272767"
"2021-08-19","11.341945341731513"
"2021-08-18","11.235678096079484"
"2021-08-17","12.158451831470732"
"2021-08-16","12.8736024878304"
"2021-08-15","12.988375347570091"
"2021-08-14","12.101882850451954"
"2021-08-13","10.393654280579684"
"2021-08-12","10.678111720786754"
"2021-08-11","10.264334260679432"
"2021-08-10","10.16342892360921"
"2021-08-09","9.688298555806865"
"2021-08-08","10.542265661660096"
"2021-08-07","10.191750226539588"
"2021-08-06","10.58146101422463"
"2021-08-05","9.654343429509577"
"2021-08-04","9.045560265315142"
"2021-08-03","9.493427904511476"
"2021-08-02","9.480314437794668"
"2021-08-01","10.15436552521241"
"2021-07-31","9.632465695327221"
"2021-07-30","9.955236791743138"
"2021-07-29","9.103556874372302"
"2021-07-28","9.363232041759819"
"2021-07-27","9.362001161718169"
"2021-07-26","8.405824317375243"
"2021-07-25","8.617866539849746"
"2021-07-24","8.762829288741967"
"2021-07-23","8.469468500800795"
"2021-07-22","8.466890578640848"
"2021-07-21","7.552583500714928"
"2021-07-20","8.156997272947578"
"2021-07-19","8.884955193357836"
"2021-07-18","8.842330945292337"
"2021-07-17","8.906928334327361"
"2021-07-16","9.568974721483261"
"2021-07-15","10.455681594587503"
"2021-07-14","10.985076536559149"
"2021-07-13","12.10163703405485"
"2021-07-12","12.41333098614277"
"2021-07-11","11.04690205050001"
"2021-07-10","11.480507448243753"
"2021-07-09","9.594932542670174"
"2021-07-08","10.750138174607121"
"2021-07-07","11.227229110847684"
"2021-07-06","10.609568941794336"
"2021-07-05","8.586594080264444"
"2021-07-04","7.27849361104071"
"2021-07-03","6.91277121316381"
"2021-07-02","6.848440167610112"
"2021-07-01","7.331989661307581"
"2021-06-30","7.174815563011742"
"2021-06-29","7.005644269485305"
"2021-06-28","6.41964061791319"
"2021-06-27","5.950782813387322"
"2021-06-26","5.829777239541528"
"2021-06-25","6.633120379718449"
"2021-06-24","6.65127811732475"
"2021-06-23","6.323592259460041"
"2021-06-22","6.577027521184587"
"2021-06-21","8.46420466029388"
"2021-06-20","8.098878735561936"
"2021-06-19","8.307606251309252"
"2021-06-18","8.999550283913678"
"2021-06-17","9.042144756982623"
"2021-06-16","9.727783992433178"
"2021-06-15","10.091851084975808"
"2021-06-14","9.1301"
"2021-06-13","8.459741729247696"
"2021-06-12","8.632724688950258"
"2021-06-11","9.925303908008"
"2021-06-10","10.883681044104792"
"2021-06-09","10.442392362178868"
"2021-06-08","10.804244962658586"
"2021-06-07","11.90602545065208"
"2021-06-06","11.650696369315696"
"2021-06-05","12.206209341828005"
"2021-06-04","13.535403866551027"
"2021-06-03","12.828095575314961"
"2021-06-02","12.691946784021695"
"2021-06-01","13.477198853628591"
"2021-05-31","11.849"
"2021-05-30","10.91572341535609"
"2021-05-29","11.953487347311436"
"2021-05-28","13.333241014301212"
"2021-05-27","14.546"
"2021-05-26","13.644044094590397"
"2021-05-25","13.903745245697172"
"2021-05-24","11.788704471320994"
"2021-05-23","14.879488437484042"
"2021-05-22","16.3616362931105"
"2021-05-21","16.26393295005678"
"2021-05-20","14.3995"
"2021-05-19","23.26156877420324"
"2021-05-18","20.30913665398456"
"2021-05-17","18.839186164492208"
"2021-05-16","19.2362324018118"
"2021-05-15","21.140348886287168"
"2021-05-14","23.709945328439442"
"2021-05-13","84.25522985175913"
"2021-05-12","18.429968781060182"
"2021-05-11","16.274785397770728"
"2021-05-10","17.808808539118072"
"2021-05-09","18.44509094545281"
"2021-05-08","18.769073004410913"
"2021-05-07","18.437877258639077"
"2021-05-06","17.681125505186372"
"2021-05-05","16.50357768428359"
"2021-05-04","18.849"
"2021-05-03","17.333191709196065"
